"Year","Release Type","Site","Installation","Nuclide Type","Activity"
"2020","Atmospheric","Kori","Shin-Kori 1","Alpha","0.000000e+0"
"2014","Atmospheric","Cofrentes","Aggregated Record","H-3","1.400000e+3"
"2007","Liquid","Zaporozhye","Zaporizhzhia 6","Alpha","0.000000e+0"
"2009","Liquid","Rovno","Rovno-4","C-14","0.000000e+0"
"2015","Liquid","Hanul","Hanul 3","H-3","1.060000e+4"
"2013","Liquid","Zaporozhye","Zaporizhzhia 3","H-3","0.000000e+0"
"1996","Atmospheric","Donald Cook","Aggregated Record","H-3","3.300000e+3"
"2010","Atmospheric","Byron","Byron 2","H-3","4.172200e+1"
"2013","Atmospheric","Pilgrim","Aggregated Record","H-3","6.396570e+1"
"2015","Liquid","Cofrentes","Aggregated Record","Other","0.000000e+0"
"2011","Atmospheric","Novovoronezh","Aggregated Record","Beta/Gamma","6.283000e-1"
"1997","Liquid","Oyster Creek","Aggregated Record","H-3","3.700000e-1"
"1988","Atmospheric","Grand Gulf","Aggregated Record","Beta/Gamma","1.588000e-2"
"2019","Atmospheric","Oskarshamn","Oskarshamn 3","Alpha","2.801682e-4"
"2007","Liquid","Dungeness A","Dungeness A (1-2)","Beta/Gamma","6.990000e+1"
"2008","Liquid","Zaporozhye","Drain valve 2","C-14","0.000000e+0"
"2019","Atmospheric","Millstone","Millstone 2","Noble Gases","2.021620e-1"
"2020","Atmospheric","Isar","Isar 1 (KKI1)","Alpha","0.000000e+0"
"2006","Atmospheric","Chooz","Aggregated Record","Beta/Gamma","1.110000e-2"
"1987","Atmospheric","Ohi","Aggregated Record","Iodine","1.600000e-3"
"2007","Liquid","Chinon","Aggregated Record","C-14","3.450000e+1"
"2019","Atmospheric","Hanul","Hanul 2","C-14","1.060000e+2"
"2012","Liquid","Tihange","Aggregated Record","H-3","5.240000e+4"
"2011","Atmospheric","Diablo Canyon","Diablo Canyon 2","Iodine","1.045000e-4"
"2009","Atmospheric","Wolsong","Wolsong 4","Noble Gases","2.177739e+3"
"2018","Atmospheric","Millstone","Millstone 2","Beta/Gamma","8.107700e-6"
"2024","Atmospheric","Sizewell B","Sizewell B","Iodine","8.000000e-3"
"2013","Liquid","Zaporozhye","Zaporizhzhia 3","Other","0.000000e+0"
"2015","Atmospheric","Wolsong","Wolsong 3","H-3","3.470000e+4"
"2007","Liquid","Santa Maria de Garona","Aggregated Record","Beta/Gamma","2.914826e-1"
"2025","Liquid","Goesgen","Aggregated Record","Beta/Gamma","8.464000e-4"
"2024","Atmospheric","Wylfa","Aggregated Record","C-14","8.570000e-1"
"2012","Atmospheric","Hinkley Point","Hinkley Point B (BA-BB)","Beta/Gamma","5.800910e+1"
"2007","Liquid","Hunterston","Hunterston A (A1-A2)","Alpha","6.930000e-2"
"2023","Liquid","Laguna Verde","Aggregated Record","Beta/Gamma","1.606940e+1"
"2016","Atmospheric","Virgil C. Summer","Aggregated Record","H-3","9.690000e-3"
"2017","Atmospheric","Bohunice","Processing center","H-3","1.052608e+0"
"1996","Atmospheric","Point Lepreau","Aggregated Record","H-3","2.400000e+5"
"2010","Atmospheric","H.B. Robinson","Aggregated Record","Iodine","2.324300e-5"
"2010","Atmospheric","Oskarshamn","Oskarshamn 2","Other","2.484255e+2"
"2008","Atmospheric","Loviisa","Loviisa 1","C-14","1.750000e+2"
"2012","Atmospheric","Temelin","Auxiliary Building ","Beta/Gamma","2.610000e-4"
"2007","Atmospheric","Trillo","Aggregated Record","Iodine","0.000000e+0"
"1996","Atmospheric","Point Beach","Aggregated Record","Iodine","1.900000e-2"
"2023","Atmospheric","Wolsong","Shin-Wolsong 1","H-3","2.210000e+3"
"2009","Liquid","Khmelnitski","Khmelnitski 2","H-3","0.000000e+0"
"2000","Atmospheric","Temelin","Aggregated Record","C-14","1.200000e+0"
"2020","Atmospheric","Isar","Isar 2 (KKI2)","C-14","3.600000e+2"
"2008","Atmospheric","Ignalina","Ignalina 2","Noble Gases","1.030000e+5"
"1988","Atmospheric","Rajasthan","Aggregated Record","H-3","1.032000e+6"
"1990","Atmospheric","Laguna Verde","Laguna Verde 1","Iodine","1.200000e-2"
"1985","Atmospheric","Pickering","Pickering 5-8","Iodine","4.400000e-2"
"2018","Liquid","Ringhals","Ringhals 4","H-3","1.580000e+4"
"2008","Atmospheric","Ringhals","Ringhals 1","Iodine","2.040000e-2"
"2017","Atmospheric","Arkansas One","Arkansas One 2","C-14","7.790000e+0"
"2011","Liquid","Dungeness B","Aggregated Record","H-3","1.400000e+4"
"2018","Liquid","Zaporozhye","Zaporizhzhia 1 ","H-3","0.000000e+0"
"2011","Liquid","Hatch","Hatch 2","Beta/Gamma","1.518160e-3"
"2015","Atmospheric","Cofrentes","Aggregated Record","H-3","2.870000e+3"
"2016","Atmospheric","Hanbit","Hanbit 6","H-3","1.060000e+3"
"2014","Liquid","Salem","Salem 1","Beta/Gamma","7.558720e-3"
"2010","Atmospheric","Cofrentes","Aggregated Record","C-14","3.960000e+2"
"2018","Atmospheric","Fessenheim","Aggregated Record","H-3","5.880000e+2"
"2008","Liquid","Cofrentes","Aggregated Record","Alpha","0.000000e+0"
"2020","Atmospheric","Cofrentes","Aggregated Record","C-14","1.070000e+2"
"2008","Liquid","Bruce","Bruce A 1-4","C-14","9.200000e-1"
"2015","Atmospheric","Bruce","Bruce A 1-4","Alpha","1.230000e-3"
"2019","Liquid","Comanche Peak","Aggregated Record","H-3","1.213500e+3"
"2009","Atmospheric","Chinon","Aggregated Record","H-3","1.710000e+3"
"2023","Atmospheric","Wolsong","Wolsong 4","C-14","2.370000e+2"
"2022","Liquid","Kursk","Aggregated Record","H-3","1.279000e+1"
"2008","Atmospheric","Vermont Yankee","Aggregated Record","Iodine","1.699200e-4"
"2019","Atmospheric","Beaver Valley","Beaver Valley 1","Noble Gases","5.935325e-1"
"2018","Liquid","Hope Creek","Aggregated Record","H-3","7.015900e+1"
"2012","Liquid","Vandellos","Vandellos 2","Beta/Gamma","6.080670e+0"
"2015","Liquid","Millstone","Millstone 2","Beta/Gamma","1.513079e-2"
"2008","Atmospheric","Oskarshamn","Oskarshamn 1","Alpha","2.351414e-6"
"2002","Atmospheric","Nogent","Aggregated Record","C-14","4.110000e+2"
"2019","Atmospheric","Goesgen","Aggregated Record","C-14","2.700000e+2"
"2001","Liquid","Halden","OECD Halden reactor project","C-14","0.000000e+0"
"2013","Atmospheric","Fessenheim","Aggregated Record","Iodine","1.120000e-2"
"2010","Liquid","Novovoronezh","Aggregated Record","Beta/Gamma","6.502800e+0"
"2011","Liquid","Bruce","Bruce B 5-8","Alpha","1.480000e-3"
"2013","Liquid","St. Lucie","St. Lucie 1","Iodine","1.401000e-5"
"2008","Liquid","Oskarshamn","Oskarshamn 3","Alpha","1.020113e-5"
"2017","Atmospheric","Hanbit","Hanbit 2","C-14","1.460000e+1"
"2010","Liquid","Point Lepreau","Aggregated Record","H-3","2.500000e+4"
"2012","Atmospheric","Wolsong","Wolsong 4","H-3","4.430000e+4"
"2014","Liquid","Hunterston","Hunterston B (B1-B2)","Other","8.170000e+0"
"2008","Atmospheric","Vogtle","Vogtle 2","Iodine","4.160000e-6"
"2015","Liquid","Rovno","Drain valve units 3-4","H-3","0.000000e+0"
"2019","Liquid","Almaraz","Aggregated Record","Alpha","0.000000e+0"
"2007","Atmospheric","Tricastin","Aggregated Record","Beta/Gamma","1.710000e-2"
"2014","Atmospheric","Loviisa","Loviisa 1","H-3","3.550000e+1"
"2020","Liquid","Kola","Aggregated Record","Beta/Gamma","1.008000e-2"
"2012","Atmospheric","Forsmark","Forsmark 1","Iodine","6.300000e-2"
"2011","Liquid","South Ukraine","South Ukraine 3","C-14","0.000000e+0"
"2009","Atmospheric","South Ukraine","South Ukraine 3","H-3","0.000000e+0"
"2020","Liquid","Calvert Cliffs","Aggregated Record","H-3","1.242880e+3"
"2010","Atmospheric","Zaporozhye","Zaporizhzhia 4","Alpha","0.000000e+0"
"2024","Atmospheric","Saeul","Saeul-1","Alpha","0.000000e+0"
"2017","Atmospheric","Doel","Aggregated Record","Noble Gases","2.740220e+4"
"2015","Liquid","Bilibino","Aggregated Record","Beta/Gamma","2.677900e-1"
"2011","Atmospheric","Trawsfynydd","Aggregated Record","H-3","3.280000e+2"
"1995","Atmospheric","Kozloduy","Aggregated Record","Noble Gases","2.500000e+5"
"2010","Liquid","Virgil C. Summer","Aggregated Record","Beta/Gamma","1.223698e-2"
"2004","Atmospheric","Nogent","Aggregated Record","Iodine","1.708000e+0"
"2016","Atmospheric","Ringhals","Ringhals 2","H-3","4.181900e+2"
"2012","Atmospheric","Beaver Valley","Beaver Valley 2","Iodine","2.952600e-6"
"1987","Atmospheric","Angra","Aggregated Record","Noble Gases","8.000000e+2"
"1990","Atmospheric","Kuosheng","Aggregated Record","Noble Gases","3.550000e+3"
"2019","Liquid","Asco","Aggregated Record","Other","0.000000e+0"
"2018","Atmospheric","North Anna","Aggregated Record","Iodine","1.132000e-5"
"2015","Liquid","Arkansas One","Arkansas One 1","Beta/Gamma","7.602843e-2"
"2017","Atmospheric","Hamaoka","Aggregated Record","Noble Gases","0.000000e+0"
"1989","Atmospheric","Laguna Verde","Laguna Verde 1","Iodine","1.000000e-4"
"2023","Liquid","Wolsong","Wolsong 4","C-14","2.630000e+2"
"2018","Atmospheric","Loviisa","Loviisa 2","Beta/Gamma","8.381000e-4"
"2020","Atmospheric","Cruas","Aggregated Record","C-14","5.360000e+2"
"2019","Atmospheric","Zaporozhye","Zaporizhzhia 3","Iodine","6.350000e-3"
"2019","Liquid","Zaporozhye","Zaporizhzhia 3","Beta/Gamma","0.000000e+0"
"2016","Liquid","Heysham","Heysham 1 (Unit A)","Other","3.590000e+0"
"2018","Atmospheric","Zaporozhye","Zaporizhzhia 1 ","H-3","9.660000e+2"
"2016","Atmospheric","Braidwood","Braidwood 1","C-14","4.329000e+0"
"2020","Liquid","Shimane","Aggregated Record","Iodine","0.000000e+0"
"2010","Atmospheric","Ringhals","Ringhals 3","Alpha","1.364400e-5"
"2013","Atmospheric","Rovno","Rovno 1-2","Particulates","1.200000e-1"
"2009","Atmospheric","Hunterston","Hunterston B (B1-B2)","Noble Gases","1.270000e+4"
"2008","Liquid","Bradwell","Aggregated Record","Beta/Gamma","5.450000e+1"
"2013","Liquid","Almaraz","Aggregated Record","Iodine","1.000000e-2"
"2013","Atmospheric","Zaporozhye","Zaporizhzhia 4","Noble Gases","2.550000e+3"
"2008","Atmospheric","Fessenheim","Aggregated Record","C-14","2.440000e+2"
"2007","Atmospheric","Smolensk","Aggregated Record","Iodine","5.740000e-2"
"2015","Atmospheric","St. Lucie","St. Lucie 2","H-3","7.319800e+1"
"2012","Atmospheric","Hunterston","Hunterston B (B1-B2)","Beta/Gamma","9.330000e+1"
"2014","Atmospheric","Dukovany","Dukovany 3-4","Noble Gases","1.464174e+3"
"2007","Liquid","Bugey","Aggregated Record","Iodine","2.320000e-2"
"2009","Atmospheric","Flamanville","Aggregated Record","Noble Gases","5.074830e+2"
"2002","Atmospheric","St. Laurent","Aggregated Record","Noble Gases","5.802640e+2"
"2014","Liquid","Cattenom","Aggregated Record","H-3","1.090000e+5"
"2011","Atmospheric","Braidwood","Braidwood 1","H-3","5.523400e+2"
"2011","Liquid","Santa Maria de Garona","Aggregated Record","H-3","6.390000e+2"
"2015","Atmospheric","Salem","Salem 2","Beta/Gamma","1.767800e-6"
"1999","Atmospheric","Budapest University of Technology and Economics","Training Reactor","Iodine","1.250000e-6"
"1986","Atmospheric","Sequoyah","Aggregated Record","H-3","1.039700e+3"
"2014","Liquid","Zaporozhye","Zaporizhzhia 6","C-14","0.000000e+0"
"2007","Liquid","Ringhals","Ringhals 2","Alpha","2.901000e-4"
"2016","Atmospheric","Forsmark","Forsmark 1","Beta/Gamma","1.177603e-2"
"2007","Atmospheric","Kori","Kori 2","H-3","1.180000e+4"
"2022","Liquid","Pickering","Aggregated Record","H-3","5.000000e+5"
"2009","Liquid","Koeberg","Aggregated Record","H-3","2.288000e+4"
"1988","Liquid","Pilgrim","Aggregated Record","H-3","2.120000e+1"
"1985","Atmospheric","Gundremmingen","Aggregated Record","Iodine","9.300000e-2"
"2020","Atmospheric","Surry","Aggregated Record","Beta/Gamma","6.192659e+1"
"2008","Liquid","Tomari","Aggregated Record","H-3","2.000000e+4"
"2014","Liquid","Kursk","Aggregated Record","Iodine","1.600000e-2"
"2011","Atmospheric","Rovno","Drain valve units 3-4","Particulates","1.550000e-2"
"1996","Liquid","Maanshan","Aggregated Record","H-3","1.530000e+4"
"1986","Liquid","Trojan","Aggregated Record","H-3","5.290000e+3"
"1989","Atmospheric","Prairie Island","Aggregated Record","Iodine","1.700000e-4"
"2018","Atmospheric","Heysham","Heysham 1 (Unit A)","H-3","1.000000e+4"
"1994","Atmospheric","Browns Ferry","Aggregated Record","H-3","1.290000e+3"
"2016","Atmospheric","Nogent","Aggregated Record","Iodine","1.640000e-2"
"2009","Liquid","Sizewell B","Sizewell B","H-3","5.270000e+4"
"2014","Atmospheric","Dresden","Dresden 2","Beta/Gamma","2.252326e-3"
"1985","Atmospheric","Point Beach","Aggregated Record","Iodine","1.272800e-1"
"2019","Atmospheric","Temelin","Temelin-1","C-14","2.683049e+2"
"2016","Atmospheric","Forsmark","Forsmark 3","C-14","5.358108e+2"
"2003","Atmospheric","Halden","OECD Halden reactor project","Noble Gases","3.783200e+1"
"2012","Atmospheric","South Ukraine","South Ukraine 1-2","C-14","0.000000e+0"
"2018","Liquid","Bruce","Bruce A 1-4","Particulates","1.200000e+0"
"2016","Atmospheric","Bohunice","NPP V2/SEAS","H-3","9.518400e+2"
"2013","Atmospheric","Vandellos","Vandellos 2","H-3","4.820000e+2"
"2014","Atmospheric","Clinton","Aggregated Record","Beta/Gamma","1.119060e-4"
"2017","Atmospheric","Muehleberg","Aggregated Record","C-14","3.600000e+2"
"2012","Atmospheric","Bugey","Aggregated Record","H-3","7.350000e+2"
"1985","Atmospheric","Kewaunee","Aggregated Record","Noble Gases","1.840000e+3"
"1985","Atmospheric","Armenia","Aggregated Record","Noble Gases","6.600000e+4"
"2014","Liquid","Kashiwazaki Kariwa","Aggregated Record","Other","0.000000e+0"
"2002","Liquid","Blayais","Aggregated Record","H-3","5.440000e+4"
"2020","Atmospheric","Olkiluoto","Aggregated Record","Noble Gases","3.101146e+3"
"2025","Liquid","Angra","Angra 2","H-3","6.510000e+3"
"2020","Liquid","Muelheim-Kaerlich","Aggregated Record","H-3","9.310000e-3"
"2011","Atmospheric","Balakovo","Aggregated Record","Beta/Gamma","1.010800e-2"
"2007","Liquid","Zaporozhye","Zaporizhzhia 5","H-3","0.000000e+0"
"2018","Atmospheric","South Ukraine","South Ukraine 1-2","H-3","4.566420e+2"
"2007","Liquid","Rovno","Rovno-4","H-3","0.000000e+0"
"2011","Atmospheric","Bruce","Bruce A 1-4","H-3","6.000000e+5"
"2025","Atmospheric","Kursk-2","KURSK 2 AGGREGATED","Noble Gases","1.875000e+1"
"2011","Atmospheric","Oldbury","Aggregated Record","Noble Gases","2.140000e+4"
"2025","Liquid","Wolsong","Wolsong 2","Beta/Gamma","1.370000e-1"
"2018","Atmospheric","Millstone","Millstone 2","H-3","1.031750e+1"
"2013","Atmospheric","Wolsong","Shin-Wolsong 1","Noble Gases","9.720000e+0"
"2017","Atmospheric","Zaporozhye","Zaporizhzhia 4","Iodine","8.530000e-3"
"2010","Atmospheric","Arkansas One","Arkansas One 1","Iodine","8.370000e-7"
"2015","Atmospheric","Oskarshamn","Oskarshamn 3","Alpha","2.143758e-5"
"2020","Atmospheric","Indian Point","Indian Point 1-2","Noble Gases","3.156310e-1"
"2011","Liquid","Callaway","Aggregated Record","Iodine","5.090000e-3"
"2012","Liquid","Davis Besse","Aggregated Record","H-3","6.315158e+2"
"1985","Atmospheric","Turkey Point","Aggregated Record","Noble Gases","1.154000e+5"
"2006","Liquid","Civaux","Aggregated Record","H-3","5.390000e+4"
"1996","Atmospheric","Diablo Canyon","Aggregated Record","H-3","9.350000e+3"
"2018","Atmospheric","Wolsong","Shin-Wolsong 1","Beta/Gamma","1.600400e-3"
"2011","Atmospheric","Wylfa","Aggregated Record","H-3","3.040000e+3"
"2011","Liquid","St. Laurent","Aggregated Record","Iodine","5.770000e-3"
"2008","Atmospheric","South Texas","South Texas 2","Iodine","1.790642e-3"
"2012","Liquid","Ohi","Aggregated Record","Other","0.000000e+0"
"2020","Atmospheric","Ringhals","Ringhals 2","Noble Gases","3.450000e+0"
"2016","Atmospheric","South Texas","South Texas 1","C-14","7.320000e+0"
"2011","Liquid","Bilibino","Aggregated Record","Beta/Gamma","1.176000e-1"
"2007","Atmospheric","Golfech","Aggregated Record","Noble Gases","5.172100e+2"
"2019","Atmospheric","Lasalle","Aggregated Record","Beta/Gamma","8.524500e-3"
"1987","Atmospheric","Diablo Canyon","Aggregated Record","Noble Gases","2.640000e+4"
"2017","Atmospheric","Shearon Harris","Aggregated Record","Noble Gases","2.869363e-1"
"2009","Atmospheric","Oskarshamn","Oskarshamn 3","Beta/Gamma","8.753883e-2"
"2025","Liquid","Bruce","Bruce A 1-4","Alpha","9.100000e-5"
"2015","Atmospheric","Farley","Farley 1","Beta/Gamma","1.179270e-6"
"2019","Liquid","Wylfa","Aggregated Record","H-3","8.560000e+1"
"2009","Atmospheric","Vermont Yankee","Aggregated Record","Iodine","1.690300e-4"
"2014","Liquid","Zaporozhye","Zaporizhzhia 5","H-3","0.000000e+0"
"2010","Atmospheric","Oconee","Aggregated Record","Noble Gases","4.735026e+1"
"2015","Liquid","Oskarshamn","Oskarshamn 3","Beta/Gamma","3.396391e-1"
"2015","Atmospheric","Zaporozhye","Zaporizhzhia 6","Alpha","0.000000e+0"
"2021","Liquid","Balakovo","Aggregated Record","Beta/Gamma","0.000000e+0"
"2004","Liquid","Dampierre","Aggregated Record","C-14","4.240000e+1"
"2016","Atmospheric","South Ukraine","South Ukraine 3","Iodine","8.269181e-2"
"2019","Atmospheric","Rovno","Rovno-4","Particulates","3.020000e-2"
"2021","Atmospheric","Smolensk","Aggregated Record","Alpha","0.000000e+0"
"2014","Atmospheric","Oldbury","Aggregated Record","C-14","8.640000e+0"
"2015","Liquid","Sizewell B","Sizewell B","H-3","1.950000e+4"
"2011","Atmospheric","Tsuruga","Tsuruga 1","Noble Gases","4.900000e+0"
"2024","Liquid","Hanul","Hanul 2","H-3","1.604000e+4"
"2008","Atmospheric","Barseback","Barsebäck 2","Alpha","3.817337e-6"
"1996","Atmospheric","Oyster Creek","Aggregated Record","H-3","5.580000e+2"
"2019","Atmospheric","Hanbit","Hanbit 1","C-14","9.750000e+1"
"2016","Atmospheric","Palo Verde","Palo Verde 1","H-3","1.046900e+3"
"2009","Atmospheric","Zaporozhye","Drain valve 1","Noble Gases","5.898500e+3"
"2011","Atmospheric","R.E. Ginna","Aggregated Record","Noble Gases","2.368205e+0"
"2020","Liquid","Mochovce","Aggregated Record","Alpha","1.658300e-7"
"1988","Atmospheric","Wolsong","Wolsong Aggregated Record","Noble Gases","1.718000e+5"
"1994","Liquid","Fukushima-Daini","Aggregated Record","H-3","5.800000e+2"
"2011","Atmospheric","Zaporozhye","Zaporizhzhia 6","Other","0.000000e+0"
"2007","Liquid","Cruas","Aggregated Record","Beta/Gamma","6.079000e-1"
"2012","Atmospheric","Forsmark","Forsmark 1","Noble Gases","3.100000e+2"
"2010","Atmospheric","Kewaunee","Aggregated Record","C-14","6.120000e+0"
"2008","Liquid","Smolensk","Aggregated Record","Beta/Gamma","1.137900e-2"
"2019","Atmospheric","Zaporozhye","Drain valve 1","Iodine","2.539400e-2"
"2012","Atmospheric","Zaporozhye","Zaporizhzhia 2","H-3","0.000000e+0"
"2019","Atmospheric","Temelin","Temelin-2","H-3","5.540476e+2"
"1990","Atmospheric","Trojan","Aggregated Record","Noble Gases","7.622000e+3"
"2010","Atmospheric","Zaporozhye","Zaporizhzhia 4","Other","0.000000e+0"
"2016","Liquid","Kursk","Aggregated Record","Beta/Gamma","5.098000e-2"
"2010","Liquid","Susquehanna","Aggregated Record","H-3","5.730000e+1"
"2008","Atmospheric","Point Beach","Aggregated Record","H-3","6.420000e+1"
"1994","Atmospheric","Zion","Aggregated Record","H-3","4.810000e+3"
"2010","Atmospheric","Tsuruga","Tsuruga 1","Noble Gases","0.000000e+0"
"2020","Atmospheric","Blayais","Aggregated Record","Noble Gases","4.823889e+2"
"2016","Liquid","Olkiluoto","Olkiluoto 1","Beta/Gamma","2.155800e-2"
"2024","Liquid","Darlington","Aggregated Record","Beta/Gamma","1.500000e+1"
"2015","Liquid","Novovoronezh","Aggregated Record","H-3","1.300000e+3"
"2012","Atmospheric","Zaporozhye","Zaporizhzhia 4","H-3","0.000000e+0"
"2010","Liquid","Khmelnitski","Drain valve","Other","0.000000e+0"
"2023","Atmospheric","Kalinin","Aggregated Record","H-3","6.480000e+1"
"2021","Liquid","Novovoronezh","Aggregated Record","Iodine","0.000000e+0"
"2016","Liquid","Zaporozhye","Zaporizhzhia 6","C-14","0.000000e+0"
"2025","Atmospheric","Hanul","Hanul 2","Beta/Gamma","1.180000e-6"
"2016","Atmospheric","Balakovo","Aggregated Record","H-3","1.970000e+4"
"2019","Liquid","Beznau","Aggregated Record","H-3","1.472487e+4"
"2015","Liquid","Arkansas One","Arkansas One 1","Iodine","7.984300e-4"
"1992","Liquid","Sellafield","Aggregated Record","Beta/Gamma","8.680000e+4"
"2010","Atmospheric","Hatch","Hatch 2","Iodine","2.157871e-3"
"2017","Atmospheric","Oskarshamn","Oskarshamn 3","Beta/Gamma","1.382464e-2"
"2014","Atmospheric","Khmelnitski","Drain valve","C-14","0.000000e+0"
"2004","Atmospheric","Nogent","Aggregated Record","C-14","4.000000e+2"
